"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Armenia","ARM","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000807464.56128","589350649.350649","217234304.472712","149628363.947031","266139192.449816","237191344.097404","285610085.982031","265666530.778638","307086223.984143","303020222.031174","415076937.904753","441434619.680755","590351792.099067","760341932.028267","1005308838.69154","1719780114.94106","2671936619.99676","4005158268.70881","5461720355.04204","3708570836.91981","3646247650.81183","3117355034.88016","2506036031.46341","2359141978.64549","2321328836.79646","2175313196.36182","1830568762.55831","2034409256.04859","2085572748.25742","2153972300.96592","2246925551.09722","2942875717.09312","3954573415.65864",
"American Samoa","ASM","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","5631360901.01774","5961760953.88175","5934880949.58095","6367201018.75216","7152321144.37138","8078561292.56981","8812161409.94583","9569281531.08504","10626561700.2499","11512481841.9971","13007682081.2291","13855522216.8836","15649532710.2804","18556053811.6592","25338246131.1717","25150894442.1685","27536673969.1079","28454920853.4067","31186698367.2972","35993411337.0442","39607799442.8969","50231046093.1151","56180072823.5684","47064075423.8097","50384346484.1896","48802975551.722","51347929490.7666","52930121757.5437","65562773208.5378","86060020779.9314","86141500700.6471","80085800328.2263","74345265469.9154","73306632939.8539","77360083016.2574","92392337392.3374","96918742853.7611","104721232240.989","100553483008.886","98873919037.4734","107944111876.729","88084589369.3363","96157619384.7231","121847408270.239","163687580025.608","187913504655.158","207978748096.358","234256889377.404","297946916345.704","256355489193.018","310534289287.79","363923361100.622","424120557415.118","439091400601.807","394535040536.434","354195041146.289","305887165809.656","318374236113.154","348358292251.884","324761891820.179","301319724270.337","350131990515.491","389721178383.579",
"Austria","AUT","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","4184601746.49378","5238062011.23472","7018414786.59444","8861298756.06156","10524891784.4523","11244309868.0572","11776931809.4654","14573108816.9178","16321408130.3895","19649453422.5425","22401820889.1725","19327720753.4128","17494034040.4937","17078152290.4857","15760772986.7272","16522104948.1245","23375614240.6489","30010730300.3918","33221904602.697","33503628705.1482","42227794989.7132","45955417796.1108","50780731279.7395","48581466934.816","53247853270.6903","60980414903.7805","61191395892.9036","54090055248.6188","55591273899.5109","54226236726.3167","50529189290.4001","48975503460.7205","50448334503.9883","63229230317.8548","71118385927.5176","72865956703.1284","76001836247.8234","89189765162.3101","100566420281.352","90046218652.0273","84718571352.3335","97007073680.8368","92726615987.086","99116851613.5493","100292164299.992","86694874154.8203","91423732806.4438","98592721333.859","109630711530.925","110768431621.412","108668789088.592","123789444758.719","119134593699.767",
"Azerbaijan","AZE","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1800000000","612000000","97011070.1107011","329057264.316079","313303507.459122","378154068.894732","924611713.065807","1465734090.26754","1579090204.18713","1306137011.50318","1219895153.38651","1305999997.8525","2125258701.20679","3847900413.9914","5009484113.09296","5471530672.57867","6231832961.17836","7072404454.3679","9075971860.47078","8335583111.36215","9611886369.29978","13307694450.7057","15646761578.0664","19128891925.3423","20638569408.6928","14768623531.5705","9479846740.22167","9733289564.27515","9749490740.38671","10179000000","9677000000","8896588235.29412","10137941176.4706",
"Burundi","BDI","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","12250000","14000000","15750000","14000000","14000000","8808296.2962963","11196571.4285714","12312000","15044571.4285714","15822857.1428571","9701714.28571429","12817142.8571429","12995428.5714286","17391847.6495139","22449523.8095238","38971428.5714286","40753623.1884058","61304333.3333333","85656666.6666667","116718888.888889","127711111.111111","131454444.444444","153330000","209144701.452394","173619580.653245","164504101.416853","168005605.675747","243436387.180317","163552833.078101","184531124.934611","172567224.314619","173915917.868142","110387272.38686","104192751.235585","64303043.9755722","64457594.9519134","72696284.0627581","59316021.0018448","60522706.2959045","47554830.0092271","24209416.2376677","39177455.289938","32592024.8715087","61742809.1112302","94702564.2423086","204431693.591771","219185870.467592","200533856.904958","214518568.349259","327340123.131836","334497223.324697","345339234.922986","346225062.380606","329315232.996425","389715520.835999","382602034.351798","248678408.174876","244688537.850197","296148978.521953","364028880.625513","303281607.82034","363979657.584564","446950511.814621",
"Belgium","BEL","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","7189894312.22267","7805280815.72239","9411292273.85208","12105104533.2229","15072935998.343","17459352857.2996","18506743991.6405","21133134496.3422","25829023952.8628","28326125481.563","31478728100.4276","22577978053.0204","18691457707.9287","16321395660.7495","15308767104.1609","16237327264.0804","22402170850.6411","28547224203.1334","34205577619.3088","37502434479.9345","49239336069.5316","47136961606.6155","51882405269.7616","47906396921.6418","50932183506.149","61152846195.9496","59147882736.1564","55227559765.4488","56308735274.5054","57244131947.1816","53295030193.5687","53008102277.441","53476165586.1177","65188434051.8822","79240309274.5176","85450837994.0856","91145801998.2352","109691965876.393","124769922360.391","110107053425.898","106505160423.334","120420276058.366","113926065901.172","115696745185.608","122100248634.941","106168068039.727","110816719619.533","117036099563.53","128341766593.804","130126709492.549","126719005574.008","143713947159.3","139440067247.471",
"Benin","BEN","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","","","","342963644.699725","182120672.124135","131134286.895168","91483172.8517091","171524627.833085","208959597.401663","244419799.602696","187142462.710664","247377931.221866","257359524.647445","227457191.187455","315765947.307607","259572011.977363","381092129.498171","385812708.972959","390736748.304141","424209444.407553","737673674.802774","659153722.93826","698894451.86988","709375930.927723","938439813.319675","995807801.702419","987846686.274372","996131520.539407","1393433297.98591","1550867404.29246","1613257090.35059","1682988084.24743","1948999825.41275","1805348966.40535","2592228258.71194","2874461326.57919","2334087780.58484","2331408891.31319","2977071305.08145","3694043955.23039","3622609902.50893","3954081322.70711","5031676877.09221","6285977612.32391",
"Burkina Faso","BFA","Gross fixed capital formation (current US$)","NE.GDI.FTOT.CD","","","","","","","","","","","","","","","","","","","","271852896.642713","272329166.918209","245221021.947724","302065476.520314","276271673.028346","216836766.600558","297153367.392095","389828752.385348","473153733.621269","482796213.396193","514093227.712549","550199658.209199","627067228.970277","654345916.064095","600008658.629995","487387800.12048","534911041.871141","583322397.276072","592972705.958606","627508894.604139","579320768.932271","489511798.457313","435938275.135992","483931981.449735","682634528.541605","852367295.973828","948865741.936084","1040725092.49522","1386602261.89915","1635277575.68076","1775934418.07499","2034335959.61952","2550603522.60847","2782899644.46588","3157068895.03524","2601942562.1489","2265528582.28458","2598134342.6859","2946988905.23532","3202213236.54565","3020607158.30921","3012538499.7851","3360033199.60614","3066093342.89135",
